Denial technique ,claim,year
3.01,2.1,2017
5.01,2.1,2015
1.01,2.1,2017
2.01,2.1,2017
5.01,2.1,2014
1.01,2.1,2015
2.04,2.1,2015
2.07,2.1,2015
2.01,2.1,2017
2.01,2.1,2023
5.01,2.1,2014
5.01,5.1,2014
2.01,5.1,2014
5.01,5.1,2014
5.01,5.1,2017
4.01,5.1,2015
4.01,5.1,2017
4.01,5.1,2017
2.09,5.1,2015
3.01,5.1,2023
5.01,5.1,2017
5.01,5.1,2017
3.01,5.1,2023
1.01,5.1,2023
3.01,5.1,2023
3.01,5.1,2023
1.01,5.1,2015
1.01,5.1,2017
2.07,5.1,2015
2.07,5.1,2015
5.01,5.1,2014
1.02,5.1,2015
2.07,5.1,2015
2.07,5.1,2015
2.07,5.1,2015
1.01,5.1,2014
1.01,5.1,2014
1.01,5.1,2017
1.01,5.1,2017
2.01,5.1,2014
2.07,5.1,2015
2.12,5.1,2014
3.01,5.1,2017
3.01,5.1,2017
3.01,5.1,2023
3.01,5.1,2023
3.01,5.1,2023
3.01,5.1,2023
3.01,5.1,2023
5.01,5.1,2015
5.01,5.1,2015
5.01,5.1,2023
2.05,5.1,2015
3.01,5.1,2023
3.01,5.1,2023
3.01,5.1,2023
4.01,5.1,2014
2.07,5.1,2023
5.01,5.1,2023
3.01,5.1,2023
1.01,5.1,2023
2.07,5.1,2014
2.09,5.1,2017
1.01,5.1,2014
2.07,5.2,2015
3.01,5.2,2015
5.01,5.2,2014
5.01,5.2,2014
5.01,5.2,2014
5.01,5.2,2015
5.01,5.2,2015
5.01,5.2,2023
5.01,5.2,2023
1.01,5.2,2014
1.01,5.2,2014
1.01,5.2,2014
2.04,5.2,2015
5.01,5.2,2014
5.01,5.2,2014
5.01,5.2,2014
5.01,5.2,2014
5.01,5.2,2014
1.01,5.2,2015
2.07,5.2,2015
5.01,5.2,2015
5.01,5.2,2017
5.01,5.2,2017
5.01,5.2,2023
5.01,5.2,2023
2.09,5.2,2015
5.01,5.2,2014
5.01,5.2,2014
5.01,5.2,2014
5.01,5.2,2014
5.01,5.2,2014
5.01,5.2,2017
5.01,5.2,2017
5.01,5.2,2017
3.01,5.2,2017
2.04,5.2,2015
2.04,5.2,2017
5.01,5.2,2017
5.01,5.2,2017
5.01,5.2,2023
5.01,5.2,2014
5.01,5.2,2014
1.01,5.2,2014
1.01,5.2,2014
1.01,5.2,2015
1.01,5.2,2017
1.01,5.2,2023
2.04,5.2,2015
2.04,5.2,2015
2.04,5.2,2017
2.04,5.2,2017
2.04,5.2,2017
2.05,5.2,2023
2.06,5.2,2014
2.07,5.2,2015
2.07,5.2,2015
2.07,5.2,2015
2.07,5.2,2015
3.01,5.2,2023
4.01,5.2,2014
4.01,5.2,2014
4.01,5.2,2015
2.04,5.2,2014
2.04,5.2,2015
2.04,5.2,2015
2.04,5.2,2015
2.04,5.2,2023
2.07,5.2,2015
2.07,5.2,2015
2.07,5.2,2015
2.08,5.2,2023
2.13,5.2,2015
2.14,5.2,2015
5.01,5.2,2014
5.01,5.2,2014
5.01,5.2,2014
5.01,5.2,2014
5.01,5.2,2014
5.01,5.2,2014
5.01,5.2,2015
5.01,5.2,2015
5.01,5.2,2017
5.01,5.2,2017
5.01,5.2,2017
5.01,5.2,2017
5.01,5.2,2023
5.01,5.2,2023
5.01,5.2,2023
5.01,5.2,2023
5.01,5.2,2023
5.01,5.2,2023
5.01,5.2,2023
5.01,5.2,2023
5.01,5.2,2023
5.01,5.2,2023
5.01,5.2,2023
2.04,5.2,2015
5.01,5.2,2017
5.01,5.2,2014
5.01,5.2,2014
1.01,5.2,2014
1.01,5.2,2017
2.05,5.2,2015
3.01,5.2,2023
5.01,5.2,2014
5.01,5.2,2015
5.01,5.2,2017
5.01,5.2,2017
5.01,5.2,2023
2.04,5.2,2023
2.07,5.2,2014
2.07,5.2,2014
2.07,5.2,2015
2.07,5.2,2015
2.14,5.2,2017
4.01,5.2,2014
5.01,5.2,2014
5.01,5.2,2015
2.06,5.2,2015
5.01,5.2,2014
2.04,5.3,2017
2.04,5.3,2015
2.07,5.3,2015
2.01,2.1,2017
2.07,2.1,2015
2.09,2.1,2017
2.09,2.1,2017
2.09,2.1,2014
5.01,2.1,2015
5.01,2.1,2015
5.01,2.1,2015
1.01,5.1,2014
2.01,5.1,2014
2.01,5.1,2014
2.01,5.1,2017
2.05,5.1,2015
2.05,5.1,2017
2.05,5.1,2017
2.07,5.1,2015
2.07,5.1,2023
2.07,5.1,2017
2.07,5.1,2017
2.08,5.1,2023
2.09,5.1,2023
2.14,5.1,2023
2.14,5.1,2023
3.01,5.1,2015
3.01,5.1,2017
4.01,5.1,2015
4.01,5.1,2015
4.01,5.1,2014
5.01,5.1,2015
5.01,5.1,2015
5.01,5.1,2015
5.01,5.1,2015
2.07,5.1,2015
2.07,5.1,2023
2.07,5.1,2023
2.07,5.1,2023
2.07,5.1,2014
2.08,5.1,2023
2.08,5.1,2023
2.14,5.1,2023
3.01,5.1,2023
5.01,5.1,2014
5.01,5.1,2017
1.01,5.2,2015
1.01,5.2,2015
1.01,5.2,2014
1.01,5.2,2014
1.01,5.2,2014
1.01,5.2,2015
1.01,5.2,2015
1.01,5.2,2023
1.01,5.2,2023
2.01,5.2,2014
2.01,5.2,2014
2.01,5.2,2014
2.01,5.2,2015
2.01,5.2,2014
2.01,5.2,2014
2.01,5.2,2014
2.01,5.2,2014
2.01,5.2,2014
2.04,5.2,2015
2.04,5.2,2015
2.04,5.2,2015
2.04,5.2,2017
2.04,5.2,2017
2.04,5.2,2023
2.04,5.2,2023
2.07,5.2,2015
2.07,5.2,2014
2.07,5.2,2014
2.07,5.2,2014
2.07,5.2,2014
2.07,5.2,2014
2.07,5.2,2017
2.07,5.2,2017
2.07,5.2,2017
2.08,5.2,2017
2.09,5.2,2015
2.09,5.2,2017
2.09,5.2,2017
2.09,5.2,2017
3.01,5.2,2023
4.01,5.2,2014
4.01,5.2,2014
5.01,5.2,2014
5.01,5.2,2014
5.01,5.2,2015
5.01,5.2,2017
5.01,5.2,2023
5.01,5.2,2015
5.01,5.2,2015
5.01,5.2,2017
5.01,5.2,2017
5.01,5.2,2017
