StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q5,Q19,Q20,Q21,Q1,Q2,Q4,Q5,Q50,Q41,Q34_1,Q34_2,Q34_3,Q34_4,Q34_5,Q37_1,Q37_2,Q37_3,Q37_4,Q35_1,Q35_2,Q35_3,Q35_4,Q35_5,Q38_1,Q38_2,Q38_3,Q38_4,Q36_1,Q36_2,Q36_3,Q36_4,Q36_5,Q39_1,Q39_2,Q39_3,Q39_4,Q13,Q15,Q17,Q14,Q16,Q7,Q8,Q9,Q10,Q11,Q12,Q39,Q24,Q26,Q25,Q40,Q38,Block,SASSY,avg belief in BoM,avg belief in anthropogenic climate change,avg belief in climate scientists,avg belief in pro-environmental behaviours,populism
7/03/2024 17:41,7/03/2024 17:43,0,1.141.153.201,100,121,1,7/03/2024 17:43,R_4fserIrSF5KBnbz,,,,,-33.9175,151.0922,anonymous,EN,1,2,2,3,2,1,2,4,2,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,3,3,3,3,3,4,4,4,2,4,3,2,3,was a very productive and interesting survey ty,4,2,3,2.666666667,3.333333333,3,3.5
13/03/2024 12:33,13/03/2024 12:35,0,120.151.246.224,100,121,1,13/03/2024 12:35,R_4odwY4TPOwXAriF,,,,,-27.4679,153.0325,anonymous,EN,1,2,2,1,1,2,1,3,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,4,4,4,2,4,4,4,3,2,3,4,4,3,2,Thanks for caring for the environment ,4,1,3.333333333,3.666666667,2.666666667,3.666666667,3
12/03/2024 19:39,12/03/2024 19:41,0,180.200.195.84,100,122,1,12/03/2024 19:41,R_4lwxZtYatql0jbX,,,,,-38.1804,144.3429,anonymous,EN,1,3,2,3,2,1,3,5,1,1,4,2,3,2,3,2,2,3,4,5,,,,,,,,,,,,,,,,,,,4,2,2,4,8,4,4,2,4,4,4,2,4,4,4,2,I enjoyed myself thank you very much ,1,3,3.333333333,2.666666667,3.333333333,4,3
11/03/2024 16:10,11/03/2024 16:12,0,1.145.58.212,100,124,1,11/03/2024 16:12,R_40qqcrBOeTxVpQ5,,,,,-33.8601,151.2101,anonymous,EN,1,2,2,2,2,1,2,4,3,1,2,,,,,,,,,,,,,,,,,,,2,3,5,5,6,5,4,6,6,2,3,2,4,5,4,4,2,4,4,4,2,4,4,4,2,,3,2,3.333333333,3,3.333333333,4,3
12/03/2024 12:20,12/03/2024 12:22,0,120.16.25.236,100,125,1,12/03/2024 12:22,R_4FsaesW4qZv6yGx,,,,,-31.9621,115.8966,anonymous,EN,1,2,3,4,2,1,1,2,3,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,3,3,5,5,5,3,4,4,4,3,2,3,2,3,N/a,4,3,4.333333333,2.666666667,3.666666667,2.333333333,3.5
8/03/2024 19:41,8/03/2024 19:43,0,120.16.91.240,100,127,1,8/03/2024 19:43,R_4gI57srtZ9FKlwK,,,,,-31.9643,115.8595,anonymous,EN,1,2,2,2,3,1,1,4,2,1,2,,,,,,,,,,,,,,,,,,,4,3,3,3,4,3,4,4,5,2,2,3,3,3,4,2,2,3,4,3,4,2,3,4,3,,3,3,2.666666667,2.666666667,3.666666667,3,3
8/03/2024 19:43,8/03/2024 19:45,0,101.166.28.85,100,127,1,8/03/2024 19:45,R_4QWblsjgZHjkysN,,,,,-33.8715,151.2006,anonymous,EN,1,2,2,2,2,2,2,2,1,1,2,,,,,,,,,,,,,,,,,,,2,3,2,3,2,1,3,5,2,4,3,4,4,5,3,4,3,4,4,4,3,4,4,4,3,Very sophiscated ,3,2,3.333333333,3.666666667,3.666666667,4,3.5
8/03/2024 19:50,8/03/2024 19:52,0,114.75.52.161,100,127,1,8/03/2024 19:52,R_4GwcCNYoqbUf8ob,,,,,-27.5923,152.7323,anonymous,EN,1,3,3,2,3,2,1,2,1,4,3,4,4,4,3,4,3,3,3,3,,,,,,,,,,,,,,,,,,,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,Good thanks ,1,3,3,3,3,3,3
8/03/2024 20:09,8/03/2024 20:11,0,203.30.15.70,100,127,1,8/03/2024 20:11,R_4iHWzT6NrPvi9rR,,,,,-33.7777,151.0117,anonymous,EN,1,2,3,3,1,2,1,2,1,4,2,,,,,,,,,,,,,,,,,,,3,6,3,5,4,4,6,4,4,3,4,3,1,4,3,2,3,4,3,2,3,5,3,3,4,Pretty easy,3,2,2.666666667,2.666666667,2.666666667,3.666666667,4
8/03/2024 20:10,8/03/2024 20:12,0,106.69.11.2,100,128,1,8/03/2024 20:12,R_4SieUbslZpA2rw6,,,,,-32.0666,115.7872,anonymous,EN,1,2,4,3,5,2,5,2,1,2,3,4,6,5,3,4,3,4,4,4,,,,,,,,,,,,,,,,,,,3,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,,1,3,3,3,3,3,3
12/03/2024 19:46,12/03/2024 19:48,0,58.109.59.25,100,128,1,12/03/2024 19:48,R_4G70mFcP6pBh9Yh,,,,,-42.885,147.3343,anonymous,EN,1,2,1,1,1,1,1,4,3,1,3,1,1,1,1,3,1,7,7,5,,,,,,,,,,,,,,,,,,,5,1,1,5,8,5,5,1,5,5,5,1,5,5,5,1,Very interesting,1,1,3.666666667,2.333333333,3.666666667,5,3
7/03/2024 17:33,7/03/2024 17:35,0,49.184.243.231,100,130,1,7/03/2024 17:35,R_40rfj13nWvefsVP,,,,,-37.8133,144.9826,anonymous,EN,1,3,4,4,2,2,3,2,1,1,3,,,,,,,,,,,,,,,,,,,4,4,4,4,4,6,4,5,5,4,2,2,4,3,4,4,2,4,4,4,2,4,4,4,2,Nice and quick,3,3,3.333333333,2.666666667,3.333333333,4,3
7/03/2024 17:43,7/03/2024 17:46,0,49.184.234.81,100,133,1,7/03/2024 17:46,R_4E0VTGKHKuCKZhi,,,,,-37.834,144.9832,anonymous,EN,1,2,2,2,2,1,1,4,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,2,5,4,4,4,2,4,5,4,1,3,5,4,2,It was insightful ,4,2,3.333333333,2.666666667,3.333333333,4,3
